SiteID,Richness
Ztx64-22090,31
Ztx64-22094,26
Ztx64-22098,29
Ztx64-22106,28
Ztx64-22110,24
Ztx64-22114,19
Ztx64-22118,31
Ztx64-22122,25
Ztx64-22126,23
Ztx64-22130,14
Ztx64-22134,21
Ztx64-22138,16
Ztx64-22142,17
Ztx64-22146,16
Ztx64-22150,34
Ztx64-22154,22
Ztx64-22158,24
Ztx64-22162,20
Ztx64-22166,14
Ztx64-22170,15
Ztx64-22174,17
Ztx64-22178,14
Ztx64-22182,14
Ztx64-22186,15
Ztx64-22190,17
Ztx64-22194,19
Ztx64-22198,19
Ztx64-22206,23
Ztx64-22210,22
Ztx64-22214,24
Ztx64-22218,22
Ztx64-22222,30
Ztx64-22226,34
Ztx64-22230,31
Ztx64-22252,25
Ztx64-22256,28
Ztx64-22260,24
Ztx64-22264,26
Ztx64-22268,28
Ztx64-22272,28
Ztx64-22282,26
Ztx64-22286,21
Ztx64-22290,21
Ztx64-22294,30
Ztx64-22298,27
Ztx64-22302,31
Ztx64-22306,26
Ztx64-22310,40
Ztx64-22314,28
Ztx64-22318,30
Ztx64-22322,19
Ztx64-22326,17
Ztx64-22330,30
Ztx64-22334,25
Ztx64-22338,28
Ztx64-22342,26
Ztx64-22346,28
Ztx64-22350,28
Ztx64-22354,30
Ztx64-22358,21
Ztx64-22362,27
Ztx64-22366,24
Ztx64-22370,24
Ztx64-22374,26
Ztx64-22378,30
Ztx64-22382,28
Ztx64-22386,33
Ztx64-22390,32
Ztx64-22546,30
Ztx64-22550,30
Ztx64-22554,28
Ztx64-22558,30
Ztx64-22562,23
Ztx64-22566,27
Ztx64-22570,27
Ztx64-22582,26
Ztx64-22594,24
Ztx64-22598,25
Ztx64-22602,26
Ztx64-22610,33
Ztx64-22614,32
Ztx64-22618,32
Ztx64-22622,24
Ztx64-22626,34
Ztx64-22630,25
Ztx64-22634,17
Ztx64-22638,22
Ztx64-22642,24
Ztx64-22646,28
Ztx64-22650,22
Ztx64-22654,25
Ztx64-22658,26
Ztx64-22666,25
Ztx64-22670,26
Ztx64-22674,27
Ztx64-22678,31
Ztx64-22682,28
Ztx64-22686,34
Ztx64-22690,29
Ztx64-NA,23
