Area,Group,Biomass (ug/m^3)
GB,Adult Calanoid,4856.737031
GB,Adult Cyclopoid,1612.576264
GB,Cladoceran,1934.054458
GB,Harpacticoid,4.616532857
GB,Immature Calanoid,3835.195236
GB,Immature Cyclopoid,567.0675849
GB,Mysid,
NC,Adult Calanoid,4562.902618
NC,Adult Cyclopoid,1814.122839
NC,Cladoceran,5618.272696
NC,Harpacticoid,
NC,Immature Calanoid,4356.053655
NC,Immature Cyclopoid,2620.200401
NC,Mysid,
NMB,Adult Calanoid,6471.557297
NMB,Adult Cyclopoid,1437.594503
NMB,Cladoceran,2892.556787
NMB,Harpacticoid,
NMB,Immature Calanoid,9061.429313
NMB,Immature Cyclopoid,918.7176979
NMB,Mysid,
SB,Adult Calanoid,4896.483896
SB,Adult Cyclopoid,1306.807781
SB,Cladoceran,11610.51954
SB,Harpacticoid,19.35229543
SB,Immature Calanoid,4158.587861
SB,Immature Cyclopoid,749.5813665
SB,Mysid,
SMB,Adult Calanoid,9335.833749
SMB,Adult Cyclopoid,1526.18665
SMB,Cladoceran,875.2540475
SMB,Harpacticoid,1.086916
SMB,Immature Calanoid,11387.66158
SMB,Immature Cyclopoid,638.8734336
SMB,Mysid,
