,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC
NH4,1,-0.071037514,0.360829376,-0.013496388,-0.029514171,0.037784638,0.153970815,-0.159038999,-0.054196009,0.104236583,-0.08798659,0.108564709,0.05512343
NOx,-0.071037514,1,-0.202450711,0.55944859,0.17056842,0.298568518,0.22190588,0.544726334,0.604611709,0.439380984,0.507755415,-0.035008863,-0.554014131
SRP,0.360829376,-0.202450711,1,0.087000141,-0.229513674,0.214867921,-0.010500357,-0.07390975,-0.034396802,-0.115894192,0.103269395,-0.154210223,0.35515986
TN,-0.013496388,0.55944859,0.087000141,1,0.067726042,0.380742783,0.315892143,0.464915947,0.555339091,0.295966012,0.526406589,0.024680361,-0.235454278
TP,-0.029514171,0.17056842,-0.229513674,0.067726042,1,-0.318059625,-0.193220668,-0.151285799,-0.137995535,0.100780223,-0.133769255,0.483042528,-0.377068348
K,0.037784638,0.298568518,0.214867921,0.380742783,-0.318059625,1,0.682923127,0.764538506,0.819019799,0.462198381,0.780153256,-0.435846723,0.124154861
Na,0.153970815,0.22190588,-0.010500357,0.315892143,-0.193220668,0.682923127,1,0.631214595,0.694679704,0.738890303,0.62497432,-0.168174591,-0.030328486
Ca,-0.159038999,0.544726334,-0.07390975,0.464915947,-0.151285799,0.764538506,0.631214595,1,0.911284902,0.604338837,0.839193696,-0.373870246,-0.129971479
Mg,-0.054196009,0.604611709,-0.034396802,0.555339091,-0.137995535,0.819019799,0.694679704,0.911284902,1,0.654306849,0.908743374,-0.276471975,-0.210645263
Cl,0.104236583,0.439380984,-0.115894192,0.295966012,0.100780223,0.462198381,0.738890303,0.604338837,0.654306849,1,0.62534032,0.049397644,-0.314732708
SO4,-0.08798659,0.507755415,0.103269395,0.526406589,-0.133769255,0.780153256,0.62497432,0.839193696,0.908743374,0.62534032,1,-0.354575049,-0.082890992
chla,0.108564709,-0.035008863,-0.154210223,0.024680361,0.483042528,-0.435846723,-0.168174591,-0.373870246,-0.276471975,0.049397644,-0.354575049,1,-0.426393051
DOC,0.05512343,-0.554014131,0.35515986,-0.235454278,-0.377068348,0.124154861,-0.030328486,-0.129971479,-0.210645263,-0.314732708,-0.082890992,-0.426393051,1
